run_id,episode,reward,avg_wait_time,epsilon,alpha,gamma,epsilon_decay,deliveries,energy_used
qlearning_v1,1,-26968.8,48.62,0.99,0.1,0.99,0.99,14,81
qlearning_v1,2,-27437.9,66.1,0.9801,0.1,0.99,0.99,13,88
qlearning_v1,3,-28234.6,43.17,0.9703,0.1,0.99,0.99,4,87
qlearning_v1,4,-26532.2,59.92,0.9606,0.1,0.99,0.99,18,94
qlearning_v1,5,-29195.7,72.63,0.95099,0.1,0.99,0.99,31,89
qlearning_v1,6,-29613.3,65.05,0.94148,0.1,0.99,0.99,11,101
qlearning_v1,7,-28782.5,46.64,0.93207,0.1,0.99,0.99,6,75
qlearning_v1,8,-29737.2,77.96,0.92274,0.1,0.99,0.99,16,84
qlearning_v1,9,-30370.9,67.82,0.91352,0.1,0.99,0.99,20,103
qlearning_v1,10,-27199.8,73.81,0.90438,0.1,0.99,0.99,24,91
qlearning_v1,11,-25030.1,53.35,0.89534,0.1,0.99,0.99,23,112
qlearning_v1,12,-31248.5,69.9,0.88638,0.1,0.99,0.99,12,95
qlearning_v1,13,-26978.0,64.0,0.87752,0.1,0.99,0.99,18,85
qlearning_v1,14,-29371.2,80.59,0.86875,0.1,0.99,0.99,10,104
qlearning_v1,15,-26893.2,47.8,0.86006,0.1,0.99,0.99,22,89
qlearning_v1,16,-28876.7,60.0,0.85146,0.1,0.99,0.99,20,94
qlearning_v1,17,-26015.2,47.87,0.84294,0.1,0.99,0.99,15,104
qlearning_v1,18,-30025.1,67.69,0.83451,0.1,0.99,0.99,10,97
qlearning_v1,19,-27945.3,62.29,0.82617,0.1,0.99,0.99,16,96
qlearning_v1,20,-27848.7,48.06,0.81791,0.1,0.99,0.99,10,84
qlearning_v1,21,-29127.6,57.25,0.80973,0.1,0.99,0.99,12,92
qlearning_v1,22,-29613.6,72.95,0.80163,0.1,0.99,0.99,11,87
qlearning_v1,23,-27253.7,44.33,0.79361,0.1,0.99,0.99,13,99
qlearning_v1,24,-27853.2,64.62,0.78568,0.1,0.99,0.99,21,94
qlearning_v1,25,-27267.9,71.09,0.77782,0.1,0.99,0.99,27,88
qlearning_v1,26,-27995.0,47.9,0.77004,0.1,0.99,0.99,13,95
qlearning_v1,27,-29535.0,71.19,0.76234,0.1,0.99,0.99,19,100
qlearning_v1,28,-28237.2,42.44,0.75472,0.1,0.99,0.99,8,89
qlearning_v1,29,-27370.9,63.82,0.74717,0.1,0.99,0.99,14,98
qlearning_v1,30,-28481.5,81.77,0.7397,0.1,0.99,0.99,14,90
qlearning_v1,31,-28201.9,39.47,0.7323,0.1,0.99,0.99,7,83
qlearning_v1,32,-29801.6,55.14,0.72498,0.1,0.99,0.99,13,87
qlearning_v1,33,-27812.0,19.07,0.71773,0.1,0.99,0.99,7,95
qlearning_v1,34,-28052.2,79.21,0.71055,0.1,0.99,0.99,21,104
qlearning_v1,35,-27186.6,53.36,0.70345,0.1,0.99,0.99,14,87
qlearning_v1,36,-28701.3,76.39,0.69641,0.1,0.99,0.99,15,96
qlearning_v1,37,-28545.2,77.48,0.68945,0.1,0.99,0.99,16,89
qlearning_v1,38,-27797.1,44.38,0.68255,0.1,0.99,0.99,16,87
qlearning_v1,39,-29101.9,45.36,0.67573,0.1,0.99,0.99,14,78
qlearning_v1,40,-29268.6,53.86,0.66897,0.1,0.99,0.99,13,87
